Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,DB25_Plug,DB25-TH_FDB2501-M0DB300K6KA,-0.0035,71.3005,180.0,top
J2,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,12.625,-1.3,0.0,bottom
J3,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,8.025,-1.3,0.0,bottom
J4,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,3.425,-1.3,0.0,bottom
J5,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,-1.175,-1.3,0.0,bottom
J6,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,-5.775,-1.3,0.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,-10.375,1.25,0.0,bottom
J8,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,-14.975,1.25,0.0,bottom
